"assay","tp","cycle","treatE","pop","strain","cfu"
"growth","24h",0,"anc",1,"co-culture",412266666666.666
"growth","24h",0,"anc",2,"co-culture",45333333.3333334
"growth","24h",0,"anc",3,"co-culture",2986666666.66666
"growth","24h",0,"anc",4,"co-culture",437866666.666667
"growth","24h",0,"anc",5,"co-culture",1.824e+09
"growth","24h",0,"anc",6,"co-culture",24193600000
"growth","24h",10,"bi",1,"co-culture",816826666666.667
"growth","24h",10,"bi",2,"co-culture",70090666.6666666
"growth","24h",10,"bi",3,"co-culture",2707200000
"growth","24h",10,"bi",4,"co-culture",229440000
"growth","24h",10,"bi",5,"co-culture",730133333.333333
"growth","24h",10,"bi",6,"co-culture",5767466666.66667
"growth","24h",10,"mono",1,"co-culture",4.8e+11
"growth","24h",10,"mono",2,"co-culture",143274666.666667
"growth","24h",10,"mono",3,"co-culture",1819200000
"growth","24h",10,"mono",4,"co-culture",2.4e+08
"growth","24h",10,"mono",5,"co-culture",1212266666.66666
"growth","24h",10,"mono",6,"co-culture",2293280000
"growth","fCy",0,"anc",1,"co-culture",5.28e+09
"growth","fCy",0,"anc",2,"co-culture",6064000
"growth","fCy",0,"anc",3,"co-culture",1.072e+10
"growth","fCy",0,"anc",4,"co-culture",18293333333.3333
"growth","fCy",0,"anc",5,"co-culture",7.5072e+10
"growth","fCy",0,"anc",6,"co-culture",25253333333.3334
"growth","fCy",10,"bi",1,"co-culture",7347047619.04761
"growth","fCy",10,"bi",2,"co-culture",13552000
"growth","fCy",10,"bi",3,"co-culture",6.4e+09
"growth","fCy",10,"bi",4,"co-culture",14826666666.6667
"growth","fCy",10,"bi",5,"co-culture",42731733333.3333
"growth","fCy",10,"bi",6,"co-culture",2.504e+10
"growth","fCy",10,"mono",1,"co-culture",2.88e+09
"growth","fCy",10,"mono",2,"co-culture",9744000
"growth","fCy",10,"mono",3,"co-culture",5.44e+09
"growth","fCy",10,"mono",4,"co-culture",14506666666.6667
"growth","fCy",10,"mono",5,"co-culture",19458666666.6667
"growth","fCy",10,"mono",6,"co-culture",7.84e+09
"growth","hCy",0,"anc",1,"co-culture",135466666.666667
"growth","hCy",0,"anc",2,"co-culture",42112000
"growth","hCy",0,"anc",3,"co-culture",7.152e+09
"growth","hCy",0,"anc",4,"co-culture",1.42384e+11
"growth","hCy",0,"anc",6,"co-culture",6405333333.33333
"growth","hCy",10,"bi",1,"co-culture",82986666666.6667
"growth","hCy",10,"bi",2,"co-culture",38096000
"growth","hCy",10,"bi",3,"co-culture",9856533333.33333
"growth","hCy",10,"bi",4,"co-culture",1045333333.33333
"growth","hCy",10,"bi",5,"co-culture",7594666666.66667
"growth","hCy",10,"bi",6,"co-culture",8954666666.66667
"growth","hCy",10,"mono",1,"co-culture",226666666.666667
"growth","hCy",10,"mono",2,"co-culture",87904000
"growth","hCy",10,"mono",3,"co-culture",5594666666.66667
"growth","hCy",10,"mono",4,"co-culture",13653333333.3333
"growth","hCy",10,"mono",5,"co-culture",5925333333.33333
"growth","hCy",10,"mono",6,"co-culture",6773333333.33334
"growth","t0h",0,"anc",1,"co-culture",5013333333.33333
"growth","t0h",0,"anc",2,"co-culture",8480000
"growth","t0h",0,"anc",3,"co-culture",179733333.333333
"growth","t0h",0,"anc",4,"co-culture",286933333.333334
"growth","t0h",0,"anc",5,"co-culture",380266666.666666
"growth","t0h",0,"anc",6,"co-culture",201066666.666666
"growth","t0h",10,"bi",1,"co-culture",1198240000
"growth","t0h",10,"bi",2,"co-culture",1200533333.33333
"growth","t0h",10,"bi",3,"co-culture",202880000
"growth","t0h",10,"bi",4,"co-culture",407413333.333333
"growth","t0h",10,"bi",5,"co-culture",113160000
"growth","t0h",10,"bi",6,"co-culture",199306666.666667
"growth","t0h",10,"mono",1,"co-culture",2720188235.29412
"growth","t0h",10,"mono",2,"co-culture",17858666.6666667
"growth","t0h",10,"mono",3,"co-culture",287242666.666667
"growth","t0h",10,"mono",4,"co-culture",123541333.333333
"growth","t0h",10,"mono",5,"co-culture",261813333.333333
"growth","t0h",10,"mono",6,"co-culture",164266666.666667
"growth","t0h",0,"anc",1,"MYb71",343644444.444444
"growth","24h",0,"anc",1,"MYb71",6.32e+08
"growth","hCy",0,"anc",1,"MYb71",57297777777.7778
"growth","fCy",0,"anc",1,"MYb71",190488888888.889
"growth","t0h",0,"anc",2,"MYb71",9.76e+08
"growth","t0h",10,"mono",2,"MYb71",5920000
"growth","24h",0,"anc",2,"MYb71",62400000
"growth","24h",10,"mono",2,"MYb71",34506666.6666667
"growth","hCy",10,"mono",2,"MYb71",2.56e+08
"growth","fCy",0,"anc",2,"MYb71",1664000
"growth","fCy",10,"mono",2,"MYb71",2805333.33333333
"growth","t0h",0,"anc",3,"MYb71",971733333.333333
"growth","t0h",10,"bi",3,"MYb71",9.2e+07
"growth","t0h",10,"mono",3,"MYb71",466666666.666667
"growth","24h",0,"anc",3,"MYb71",965333333.333333
"growth","24h",10,"bi",3,"MYb71",357333333.333333
"growth","24h",10,"mono",3,"MYb71",682666666.666667
"growth","hCy",0,"anc",3,"MYb71",55093333333.3333
"growth","hCy",10,"bi",3,"MYb71",18773333333.3333
"growth","hCy",10,"mono",3,"MYb71",1.952e+10
"growth","fCy",0,"anc",3,"MYb71",1.008e+10
"growth","fCy",10,"bi",3,"MYb71",1.328e+10
"growth","fCy",10,"mono",3,"MYb71",114666666666.667
"growth","t0h",0,"anc",4,"MYb71",2.88e+08
"growth","t0h",10,"bi",4,"MYb71",234133333.333333
"growth","t0h",10,"mono",4,"MYb71",3.52e+08
"growth","24h",0,"anc",4,"MYb71",1.072e+09
"growth","24h",10,"bi",4,"MYb71",8e+07
"growth","24h",10,"mono",4,"MYb71",698666666.666667
"growth","hCy",0,"anc",4,"MYb71",3.76e+10
"growth","hCy",10,"bi",4,"MYb71",51786666666.6667
"growth","hCy",10,"mono",4,"MYb71",2.048e+10
"growth","fCy",0,"anc",4,"MYb71",14666666666.6667
"growth","fCy",10,"bi",4,"MYb71",10026666666.6667
"growth","fCy",10,"mono",4,"MYb71",2.016e+10
"growth","t0h",0,"anc",5,"MYb71",965333333.333333
"growth","t0h",10,"mono",5,"MYb71",5.6e+08
"growth","24h",0,"anc",5,"MYb71",2506666666.66667
"growth","24h",10,"mono",5,"MYb71",682666666.666666
"growth","hCy",0,"anc",5,"MYb71",14453333333.3333
"growth","hCy",10,"mono",5,"MYb71",24373333333.3333
"growth","fCy",0,"anc",5,"MYb71",4.48e+09
"growth","fCy",10,"mono",5,"MYb71",1413333333.33333
"growth","t0h",0,"anc",6,"MYb71",554666666.666667
"growth","t0h",10,"bi",6,"MYb71",367200000
"growth","24h",0,"anc",6,"MYb71",524800000
"growth","24h",10,"bi",6,"MYb71",420266666.666667
"growth","hCy",0,"anc",6,"MYb71",1.2696e+10
"growth","hCy",10,"bi",6,"MYb71",2718400000
"growth","fCy",10,"bi",6,"MYb71",51573333333.3333
"growth","24h",10,"mono",1,"MYb71",733333333.333333
"growth","hCy",10,"mono",1,"MYb71",22453333333.3333
"growth","fCy",10,"mono",1,"MYb71",4906666666.66667
"growth_agar","24h",10,"anc",1,"MYb11",1546666667
"growth_agar","24h",10,"anc",2,"MYb11",50666666.67
"growth_agar","24h",10,"anc",3,"MYb11",1173333333
"growth_agar","24h",10,"anc",4,"MYb11",314666666.7
"growth_agar","24h",10,"anc",5,"MYb11",981333333.3
"growth_agar","24h",10,"anc",6,"MYb11",3413333333
"growth_agar","24h",10,"bi",1,"MYb11",2495999999.67
"growth_agar","24h",10,"bi",2,"MYb11",106133333.3
"growth_agar","24h",10,"bi",3,"MYb11",1061333333.3
"growth_agar","24h",10,"bi",4,"MYb11",3.04e+08
"growth_agar","24h",10,"bi",5,"MYb11",2062666667
"growth_agar","24h",10,"bi",6,"MYb11",3306666667
"growth_agar","24h",10,"mono",1,"MYb11",2666666666.3
"growth_agar","24h",10,"mono",2,"MYb11",122666666.7
"growth_agar","24h",10,"mono",3,"MYb11",3146666667
"growth_agar","24h",10,"mono",4,"MYb11",810666666.7
"growth_agar","24h",10,"mono",6,"MYb11",2400000000.3
"growth_agar","fCy",10,"anc",1,"MYb11",14933333333
"growth_agar","fCy",10,"anc",2,"MYb11",9706666667
"growth_agar","fCy",10,"anc",3,"MYb11",6.4e+09
"growth_agar","fCy",10,"anc",4,"MYb11",1.23e+10
"growth_agar","fCy",10,"anc",6,"MYb11",46933333333
"growth_agar","fCy",10,"bi",1,"MYb11",7.04e+09
"growth_agar","fCy",10,"bi",2,"MYb11",1.456e+10
"growth_agar","fCy",10,"bi",3,"MYb11",5066666666.7
"growth_agar","fCy",10,"bi",4,"MYb11",15306666666
"growth_agar","fCy",10,"bi",5,"MYb11",8853333333
"growth_agar","fCy",10,"bi",6,"MYb11",9813333333
"growth_agar","fCy",10,"mono",1,"MYb11",5546666666
"growth_agar","fCy",10,"mono",2,"MYb11",15013333333
"growth_agar","fCy",10,"mono",3,"MYb11",4213333333
"growth_agar","fCy",10,"mono",4,"MYb11",12426666666
"growth_agar","fCy",10,"mono",5,"MYb11",9.04e+09
"growth_agar","fCy",10,"mono",6,"MYb11",23466666667
"growth_agar","hCy",10,"anc",1,"MYb11",9653333333
"growth_agar","hCy",10,"anc",2,"MYb11",2.72e+10
"growth_agar","hCy",10,"anc",3,"MYb11",6506666667
"growth_agar","hCy",10,"anc",4,"MYb11",8.88e+09
"growth_agar","hCy",10,"anc",5,"MYb11",5.52e+09
"growth_agar","hCy",10,"anc",6,"MYb11",7626666667
"growth_agar","hCy",10,"bi",1,"MYb11",5173333333
"growth_agar","hCy",10,"bi",2,"MYb11",16533333333
"growth_agar","hCy",10,"bi",3,"MYb11",5653333333
"growth_agar","hCy",10,"bi",4,"MYb11",2.88e+10
"growth_agar","hCy",10,"bi",5,"MYb11",9.92e+09
"growth_agar","hCy",10,"bi",6,"MYb11",13973333333
"growth_agar","hCy",10,"mono",1,"MYb11",6.24e+09
"growth_agar","hCy",10,"mono",2,"MYb11",41066666667
"growth_agar","hCy",10,"mono",3,"MYb11",6186666667
"growth_agar","hCy",10,"mono",4,"MYb11",3.36e+10
"growth_agar","hCy",10,"mono",5,"MYb11",7039999999.7
"growth_agar","hCy",10,"mono",6,"MYb11",11733333333
"growth_agar","t0h",10,"anc",1,"MYb11",41666666.67
"growth_agar","t0h",10,"anc",2,"MYb11",19583333.33
"growth_agar","t0h",10,"anc",3,"MYb11",68333333.33
"growth_agar","t0h",10,"anc",4,"MYb11",81666666.67
"growth_agar","t0h",10,"anc",5,"MYb11",30833333.33
"growth_agar","t0h",10,"anc",6,"MYb11",24166666.67
"growth_agar","t0h",10,"bi",1,"MYb11",4.5e+07
"growth_agar","t0h",10,"bi",2,"MYb11",23749999.9967
"growth_agar","t0h",10,"bi",3,"MYb11",29583333.333
"growth_agar","t0h",10,"bi",4,"MYb11",3.5e+07
"growth_agar","t0h",10,"bi",5,"MYb11",32500000
"growth_agar","t0h",10,"bi",6,"MYb11",24916666.67
"growth_agar","t0h",10,"mono",1,"MYb11",31666666.667
"growth_agar","t0h",10,"mono",2,"MYb11",4.5e+07
"growth_agar","t0h",10,"mono",3,"MYb11",37500000
"growth_agar","t0h",10,"mono",4,"MYb11",49166666.67
"growth_agar","t0h",10,"mono",5,"MYb11",28750000
"growth_agar","t0h",10,"mono",6,"MYb11",26666666.67
